10/29/2025                                                                                                Dynamic List Display                                                                                                        1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/29/2025 Goods Movements with Errors: Summarized Records
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Material      |Material Description                    |Plnt|SLoc|      Quantity|EUn| Counter|MvT|Created On|Status|Error date|Error Text                                                              |Time    |ID|No.|Batch     |
|   S0071348887   |Box Cover Natural                       |1815|0051|          200 |EA |       1|261|10/22/2025|      |10/22/2025|Deficit of SL Unrestricted-use 200 EA : S0071348887 1815 0051           |18:45:03|M7|021|          |
|   S0071295503   |Connector (IH) 6p 025 Natural           |1815|0051|        4,000 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 1,350 EA : S0071295503 1815 0051         |10:45:02|M7|021|          |
|   S0071295082   |Connector 8p LC Natural                 |1815|0051|          200 |EA |       1|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 200 EA : S0071295082 1815 0051           |19:45:02|M7|021|          |
|   S0071239235   |Connector 3p 090 Natural                |1815|0051|        5,000 |EA |       1|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 2,860 EA : S0071239235 1815 0051         |04:45:02|M7|021|          |
|   S0071238146   |Connector 4p Other White                |1815|0051|        2,800 |EA |       1|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 2,450 EA : S0071238146 1815 0051         |19:15:02|M7|021|          |
|   S0071236060   |Connector 6p 250 M Natural              |1815|0051|        1,300 |EA |       1|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 30 EA : S0071236060 1815 0051            |10:15:03|M7|021|          |
|   S0071232860   |Connector 6p 250 Natural                |1815|0051|        3,000 |EA |       2|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 1,500 EA : S0071232860 1815 0051         |04:15:20|M7|021|          |
|   S0071232845   |Connector 4p 250 Natural                |1815|0051|           60 |EA |       1|261|10/21/2025|      |10/21/2025|Deficit of SL Unrestricted-use 60 EA : S0071232845 1815 0051            |07:15:04|M7|021|          |
|   S0071232815   |Connector 1p 250 Natural                |1815|0051|          480 |EA |       1|261|10/10/2025|      |10/10/2025|Deficit of SL Unrestricted-use 480 EA : S0071232815 1815 0051           |17:45:02|M7|021|          |
|   S0071232511   |Connector 1p 250 Natural                |1815|0051|           16 |EA |       1|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 16 EA : S0071232511 1815 0051            |06:45:02|M7|021|          |
|   S0071231640   |Connector 4p S Natural                  |1815|0051|        3,000 |EA |       1|261|10/26/2025|      |10/26/2025|Deficit of SL Unrestricted-use 240 EA : S0071231640 1815 0051           |02:15:16|M7|021|          |
|   S0071231520   |Connector 2p 090 Natural                |1815|0051|       10,000 |EA |       1|261|10/19/2025|      |10/19/2025|Deficit of SL Unrestricted-use 7,580 EA : S0071231520 1815 0051         |04:15:03|M7|021|          |
|   S0071231210   |Connector 12p 090 Natural               |1815|0051|          120 |EA |       2|261|10/16/2025|      |10/16/2025|Deficit of SL Unrestricted-use 60 EA : S0071231210 1815 0051            |04:45:02|M7|021|          |
|   S0071228020   |Connector 2p unknown Light Gray         |1815|0051|        2,400 |EA |       1|261|10/17/2025|      |10/17/2025|Deficit of SL Unrestricted-use 1,440 EA : S0071228020 1815 0051         |00:45:02|M7|021|          |
|   S0071222825   |Connector 2p 250 Natural                |1815|0051|        6,000 |EA |       2|261|10/27/2025|      |10/27/2025|Deficit of SL Unrestricted-use 99 EA : S0071222825 1815 0051            |00:15:17|M7|021|          |
|   S0071221640   |Connector 4p S Natural                  |1815|0051|        1,500 |EA |       1|261|10/18/2025|      |10/18/2025|Deficit of SL Unrestricted-use 375 EA : S0071221640 1815 0051           |21:45:02|M7|021|          |
|   S0070479606   |Tape Clip                               |1815|0051|       16,800 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 480 EA : S0070479606 1815 0051           |00:15:08|M7|021|          |
|   S0070479171   |Connector Clip                          |1815|0051|       12,000 |EA |       3|261|10/15/2025|      |10/15/2025|Deficit of SL Unrestricted-use 3,000 EA : S0070479171 1815 0051         |07:15:02|M7|021|          |
|   S0070471664   |Connector Clip                          |1815|0051|       12,000 |EA |       1|261|10/23/2025|      |10/23/2025|Deficit of SL Unrestricted-use 8,616 EA : S0070471664 1815 0051         |00:45:09|M7|021|          |
|   M51MB01480    |Master Batch LCA20                      |1815|RG02|        9.200 |KG |       1|261|10/18/2025|      |10/27/2025|Batch M51MB01480 1815 RG02 2025102502 does not exist                    |17:26:04|M7|042|2025102502|
|   M51MB01430    |Master Batch LCA20                      |1815|RG02|       20.020 |KG |       6|261|10/10/2025|      |10/27/2025|Batch M51MB01430 1815 RG02 2025102502 does not exist                    |17:26:04|M7|042|2025102502|
|   M510129100    |Resin TORAYCON 1101G-15U                |1815|RG02|       35.923 |KG |       1|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |18:15:57|M7|018|          |
|   M510104300    |CCP 3015-200R Natural                   |1815|RG02|    1,789.200 |KG |      14|261|10/14/2025|      |10/27/2025|Batch M510104300 1815 RG02 2025102502 does not exist                    |17:26:02|M7|042|2025102502|
|   M510104300    |CCP 3015-200R Natural                   |1815|RG02|           71 |KG |       1|261|10/27/2025|      |10/27/2025|Enter Batch                                                             |23:45:53|M7|018|          |
|   M510092600    |Resin ZYTEL 70G35EF+ZYTEL 70G35EF US    |1815|0052|       49.422 |KG |       3|261|10/27/2025|      |10/28/2025|Deficit of BA Unrestricted-use 13.765 KG : M510092600 1815 0052 20251001|12:41:20|M7|021|20251001  |
|   M510092600    |Resin ZYTEL 70G35EF+ZYTEL 70G35EF US    |1815|0052|       51.809 |KG |       5|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |18:15:07|M7|018|          |
|   M510071300    |CCP 3015-200X NC                        |1815|RG02|    4,415.057 |KG |      22|261|10/08/2025|      |10/27/2025|Deficit of BA Unrestricted-use 175 KG : M510071300 1815 RG02 20251010   |17:27:15|M7|021|20251010  |
|   M510071300    |CCP 3015-200X NC                        |1815|RG02|           75 |KG |       1|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |03:15:46|M7|018|          |
|   M510065200    |YCC Raw Materials Template              |1815|0051|       48.406 |KG |       4|261|10/28/2025|      |10/28/2025|Deficit of BA Unrestricted-use 3.986 KG : M510065200 1815 0051 20251001 |18:09:56|M7|021|20251001  |
|   M510065200    |YCC Raw Materials Template              |1815|0051|       55.234 |KG |       4|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |18:15:07|M7|018|          |
|   M510055500    |Resin DURANEX 515AC                     |1815|RG02|    1,259.840 |KG |       5|261|10/18/2025|      |10/27/2025|Batch M510055500 1815 RG02 2025102502 does not exist                    |17:26:03|M7|042|2025102502|
|   M510044100    |Resin ZYTEL 103FHS                      |1815|0052|        3.978 |KG |       1|261|10/28/2025|      |10/28/2025|Batch M510044100 1815 0052 20251001 does not exist                      |17:55:42|M7|042|20251001  |
|   M510044100    |Resin ZYTEL 103FHS                      |1815|0052|        3.978 |KG |       1|261|10/29/2025|      |10/29/2025|Enter Batch                                                             |01:45:28|M7|018|          |
|   M510024700    |Resin LEONA 1402S+LEONA1402S            |1815|RG02|      717.800 |KG |       3|261|10/16/2025|      |10/27/2025|Batch M510024700 1815 RG02 2025102502 does not exist                    |17:26:04|M7|042|2025102502|
|   M510018800    |Resin CRASTIN SK602                     |1815|RG02|      172.993 |KG |       2|261|10/27/2025|      |10/27/2025|Enter Batch                                                             |21:45:28|M7|018|          |
|   M510018800    |Resin CRASTIN SK602                     |1815|0051|       22.344 |KG |       1|261|10/29/2025|      |10/29/2025|Batch 20251020 of material M510018800 is already locked by 10691660     |10:15:07|M3|682|20251020  |
|   M510017230    |Resin CRASTIN CE2560                    |1815|0052|      577.608 |KG |      18|261|10/28/2025|      |10/28/2025|Enter Batch                                                             |19:15:17|M7|018|          |
|   M510017200    |Resin CRASTIN CE2560                    |1815|RG02|      389.279 |KG |       3|261|10/27/2025|      |10/27/2025|Enter Batch                                                             |22:15:55|M7|018|          |
|   M510015040    |Resin ZYTEL HLTN-HPA-LG2D               |1815|0052|       23.041 |KG |       2|261|10/28/2025|      |10/28/2025|Deficit of BA Unrestricted-use 4.119 KG : M510015040 1815 0052 20251001 |12:41:20|M7|021|20251001  |
